ID_da_instituicao	Publicacoes
100000002	2099
200000004	1803
200000993	5084
300000006	6826
300000995	2534
400000008	326
400000997	2644
500000000	7890
500000999	1582
600000001	5437
600000990	1349
700000003	182
700000992	1445
800000994	1117
900000007	966
900000996	773
1000000998	738
1100000990	646
1200000002	540
1200000991	589
1300000993	490
1400000006	262
1400000995	709
1500000008	6361
1500000997	435
1600000999	409
1700000001	902
1700000990	346
1800000992	382
1900000005	557
1900000994	232
2000000996	447
2100000009	11263
2100000998	279
2200000990	121
2500000006	2880
2500000995	142
2700000000	198
2800000001	1561
2800000990	102
2900000003	979
3200000009	144
3900000001	19239
4000000003	1753
4100000005	3222
4300000009	15781
4400000000	5520
4500000002	11679
4700000006	159
5800000006	504
5900000008	2225
6100000001	259
6200000003	20481
6700000002	87830
6900000006	257
7000000008	3812
7100000000	412
7200000001	782
7700000000	1925
7900000004	28564
8000000006	5445
8200000000	1995
8300000001	6103
8400000003	3297
8700000009	3483
8900000002	10607
9200000008	11419
9800000009	492
10200000001	946
10300000003	13187
10400000005	614
10600000009	7855
11000000006	151
11100000008	2718
12800000009	197
13800000007	170
14000000000	1944
16300000002	277
16700000000	3397
19200000005	24795
20100000007	449
20200000009	33584
20700000008	2461
21100000005	3140
21200000007	128
21700000006	1252
22900000008	409
23100000001	400
24000000008	9957
24500000007	229
24700000000	1032
24800000002	1157
25500000005	198
25900000002	316
27500000001	270
28200000004	675
28700000003	295
29100000000	7478
32100000000	1727
32300000004	3036
32600000000	12309
32700000001	11505
32900000005	7591
33000000007	35337
33100000009	2524
33200000000	3623
33300000002	28989
33400000004	2601
33500000006	9092
33600000008	11007
33700000000	6983
33800000001	4373
38400000005	3434
38800000002	402
39000000006	120
39200000000	5266
40000000000	163
45000000000	119
46100000000	109
47000000007	250
47500000006	243
47700000000	199
51400000002	730
51600000006	144
57200000008	161
59100000002	1154
61400000000	1241
61500000001	252
62200000004	730
65800000000	2385
66300000009	116
66900000000	484
67900000008	501
71500000009	399
80300000004	910
80400000006	4200
81100000009	1262
81500000006	421
87000000006	2648
87900000002	902
89100000004	329
104100000001	190
107000000004	270
107400000001	975
117700000004	330
117800000006	804
118000000000	116
119300000003	2291
120600000002	269
121100000001	281
125200000006	1693
154100000008	354
154300000001	300
154600000007	366
158700000001	481
166100000001	176
169600000005	289
169700000007	1208
171500000005	324
172000000004	804
173400000000	145
179800000006	193
183300000005	603
189500000008	233
192500000008	201
192900000005	327
195400000000	521
198100000000	3732
201100000003	1533
201900000008	148
202100000001	171
204400000003	1382
205600000005	458
208000000009	141
226100000009	197
246100000003	594
246300000007	1112
247500000009	587
273000000009	155
281100000001	464
281500000009	194
286700000003	261
288200000000	170
294800000006	438
295500000009	146
301700000000	169
306200000002	1068
308200000009	215
309500000002	405
312800000008	183
319000000000	421
340900000005	309
342800000000	1075
342900000001	269
350700000009	402
361800000006	149
363100000000	1494
377800000002	477
387300000000	607
390600000006	127
408800000006	2642
408900000008	1952
410300000009	610
412700000002	1338
420700000003	190
422900000003	129
423400000002	174
426500000009	116
428800000000	328
431100000008	516
431200000000	215
431900000002	1044
434800000005	611
438500000002	215
438600000004	175
442500000000	127
445200000000	169
446900000000	2511
460900000006	964
475600000009	521
478800000007	1101
498300000002	236
501100000002	298
501600000001	796
502700000001	142
505800000008	398
506700000004	452
511300000003	1122
520900000003	227
528700000005	130
530400000001	150
531000000002	308
551400000004	166
553800000008	2287
554300000007	1161
558800000009	172
567100000005	170
567200000007	604
572000000000	413
577000000000	287
577300000006	1020
579800000001	186
583400000002	130
583900000001	224
584200000007	525
586600000000	128
623800000002	276
627100000002	286
653900000006	190
661500000000	205
749000000008	1220
754000000004	347
768700000007	476
769300000008	914
778500000000	1347
780900000000	302
785800000009	461
802500000007	106
802600000009	250
807700000001	498
810400000006	406
811900000003	324
819000000002	142
822900000009	529
823700000003	455
829000000000	1013
831200000005	491
832500000009	2590
833700000000	187
841500000008	944
841600000000	177
867100000004	1618
869900000005	379
870100000004	831
870300000008	207
870400000000	541
874100000007	203
877900000006	111
880000000000	730
884900000009	623
885300000006	290
885400000008	265
891200000009	330
891300000000	409
892700000006	371
894500000009	406
898500000001	232
985600042380	101
985600043360	245
985600169126	225
985601000990	419
F3V900000009	729
I22A00000002	862
I3CJ00000006	1526
IW1X00000000	117
IW3C00000004	168
IW9W00000003	229
IWU400000003	3353
IX2400000007	211
IXXU00000008	622
IY5300000007	385
IYIC00000000	119
IYZQ00000002	196
IZCF00000003	1879
IZEE00000008	650
IZEO00000008	450
J01700000009	169
J1GS00000009	106
J1HP00000001	455
J1JP00000008	169
J1OR00000000	312
J1OU00000008	139
J1SS00000005	797
J2HF00000009	614
J32200000000	906
J3E400000000	112
J3UC00000003	360
J3Y700000005	124
J41C00000009	238
J4D600000002	354
J7ZP00000009	282
J8E800000003	287
J8LU00000004	531
J93M00000001	246
J9GC00000006	184
JA2300000000	133
JI7500000002	238
JIDJ00000007	202
JL8W00000004	349
JLDY00000007	144
JNTM00000007	107
